slug,display_name,country,best_root,n_cars,method,sample
directory-carandclassic-de,Car and Classic — Germany dealers directory,de,https://www.carandclassic.com/dealers/,3,httpx_bs4,BMW E30 325i Sport / 1986 ; Morgan 1964 Morgan 4/4 1964
elferspot,Elferspot,de,https://www.elferspot.com/en/,3,httpx_bs4,Porsche 964 Jubiläumsmod 1993 ; Porsche 356 A 1600 Speed 1957
mirbach-schuttenbach,MIRBACH + Schuttenbach Automobile,de,https://mirbach.de/en/vehicles/,3,httpx_bs4,Alfa Romeo 2000 Sprint 1961 ; Land Rover 110 SE Edition S 2009
thiesen-eberhard-raritaeten,Eberhard Thiesen Automobile Raritäten,de,https://classiccarsgermany.eu/en/our-automobile-portfolio/,3,httpx_bs4,Bentley 4.5 Litre Blower 1931 ; Bentley 4.5 Litre Blower 1929
cog-classics,C.O.G. Classics,de,https://www.cog-classics.com/,3,httpx_bs4,Ferrari 328 GTS 1986 ; Volkswagen Karmann Ghia 160 1970
mechatronik,Mechatronik,de,https://www.mechatronik.de/verkauf/fahrzeugangebote/,3,httpx_bs4,Mercedes-Benz W100 600 SWB 1972 ; Mercedes-Benz SLR McLaren Road 2009
hollmann-international,Hollmann International,de,https://hollmann.international/vehicles/,3,httpx_bs4,Ferrari 812 GTS by NOVIT 2023 ; Ferrari 812 GTS by NOVIT 2023
die-oldtimer-galerie,Oldtimer Galerie Laufenburg,de,https://www.die-oldtimer-galerie.de/,3,jsonld,Mercedes-Benz 220 SE Cabriolet 1960 ; Mercedes-Benz 220 S Cabriolet  1958
leadercar,Leadercar Levante SL,es,https://www.leadercar.es/comprar-vehiculo/,3,jsonld,Hyundai Tucson 2022 ; Alfa Romeo Stelvio 2024
