dealer,country,old_listings_url,new_listings_url,n_cars,sample
Oldie Point GmbH,AT,https://www.oldie-point.at/unser-angebot/detailansicht/vehicle/bmw-z1-aus-erstbesitz/,https://www.oldie-point.at/unser-angebot/,3,"Jaguar Mk II 2.4 aus äuße 1968 ; Mercedes-Benz 219 ""Ponton"" zweif 1961"
DriveCity,BE,https://drivecity.be/for-sale,https://drivecity.be/for-sale/,3,Ferrari 456GT 1996 ; Alfa Romeo Bertone 2000 2000
House of Cars,BE,https://www.houseofcars.be/nos-vehicules/,https://www.houseofcars.be/nos-vehicules/,3,Porsche 987.1 Boxster S De 2008 ; Porsche 997.1 Targa 4S Man 2008
Machines with a Mission,BE,https://machineswithamission.com/machines-for-sale/,https://machineswithamission.com/machines-for-sale/,3,Riley Nine-De Havilland  1928 ; Chevrolet Corvette Grand Spo 1965
Oldtimers Gilis,BE,https://ww2.oldtimersgilis.be/inventory/,https://ww2.oldtimersgilis.be/inventory/,3,Bentley Continental R 1993 ; Mercedes-Benz SLK 2013
RMD bvba,BE,http://www.rmd.be,http://www.rmd.be/,3,Ford Escort RS1800 Mk2  1975 ; Porsche 911 2.0 Liter SWB  1966
Speed 8 Classics Sales & Service,BE,https://www.speed8classics.com,https://www.speed8classics.com/,3,De Tomaso Pantera 1974 ; Iso Grifo S2 1973
TURN8,BE,https://www.turn8cars.com/current-offerings,https://www.turn8cars.com/current-offerings/,3,Porsche 996 4S Cabrio POV 2004 ; Alfa Romeo Giulia 'Barchetta' 1962
Car Corral,ES,https://www.carcorral.es/ficha-vehiculo/bentley-t1--(-123.000km-)-1972/,https://www.carcorral.es/,3,Mercedes-Benz SL 500 - 1991 1991 ; AC Cobra - 1961 1961
Leadercar Levante SL,ES,https://www.leadercar.es/comprar-vehiculo/,https://www.leadercar.es/comprar-vehiculo/,3,Skoda Octavia 2022 ; Audi Cabriolet 1993
