country,dealer,website,listings_url,classe,found,valid
DE,A + C Auto Classic,http://www.ac-autoclassic.de,http://www.ac-autoclassic.de/index.php/de/fahrzeuge,READY,9,3
DE,AC classics,http://www.ac-classics.de,http://www.ac-classics.de,READY,5,3
DE,Adelman Sportwagen,https://sportwagen-adelmann.de,https://sportwagen-adelmann.de/fahrzeugangebot/,READY,13,3
DE,AixClusive cars ’n more GmbH & Co. KG,https://www.aixclusive.com,https://www.aixclusive.com,WATCH_JS,0,0
DE,Andy’s Classic Cars,https://www.andys-classic-cars.de,https://www.andys-classic-cars.de,NEEDS_CSS,4,0
DE,AnMark Classic,http://anmarkclassic.de,http://anmarkclassic.de,WATCH_JS,0,0
DE,Arden Automobilbau GmbH,https://www.arden.de,https://www.arden.de,NEEDS_CSS,6,0
DE,Arnold Classic GmbH,https://www.arnold-classic.com,https://www.arnold-classic.com,READY,6,2
DE,Auto Salon Singen GmbH,https://www.auto-salon-singen.de,https://www.auto-salon-singen.de/en/vehiclereferences,READY,8,2
DE,Autohaus Hans Saturski GmbH,https://autohaus-saturski.de,https://autohaus-saturski.de,WATCH_JS,0,0
DE,Automakler Nordheide,https://automakler-nordheide.de,https://automakler-nordheide.de,WATCH_JS,0,0
DE,Automobile Zeitreise,https://www.automobile-zeitreise.de,https://www.automobile-zeitreise.de,NEEDS_CSS,7,0
DE,Automobilia Fabrik,http://www.automobilia-fabrik.de,http://www.automobilia-fabrik.de,WATCH_JS,0,0
DE,Autosalon Isartal,http://www.autosalon-isartal.de,http://www.autosalon-isartal.de,NEEDS_CSS,20,0
DE,AutoSL,https://autosl.de,https://autosl.de/fahrzeugsuche/,NEEDS_CSS,3,0
DE,AutoToyStore GmbH,http://www.autotoystore.de,https://autotoystore.de/showroom-360,NEEDS_CSS,9,0
DE,Axel Schuette Fine Cars,https://axelschuette.de,https://axelschuette.de/cars-for-sale/,NEEDS_CSS,26,0
DE,Bastian Voigt Collectors Cars GmbH,https://www.bastianvoigt.de,https://www.bastianvoigt.de,WATCH_JS,0,0
DE,BFC-Cars,https://bfc-cars.de,https://bfc-cars.de,WATCH_JS,0,0
DE,Bratke Exclusive Cars,https://bratke.de,https://bratke.de,WATCH_JS,0,0
DE,C.O.G. Classics GmbH Düsseldorf,https://www.cog-classics.com,https://www.cog-classics.com/oldtimer-kaufen,READY,4,3
DE,Car Classics Cologne GmbH,https://car-classics.de,https://car-classics.de,WATCH_JS,0,0
DE,Car Range Automobile GmbH,http://www.car-range.de,http://www.car-range.de,NEEDS_CSS,14,0
DE,Carruca GmbH,https://www.carruca.com,https://www.carruca.com,WATCH_JS,0,0
DE,Chromecars,https://www.chromecars.de,https://www.chromecars.de/fahrzeuge/,NEEDS_CSS,107,0
DE,Classic Carage Celle,https://www.classicgaragecelle.de,https://www.classicgaragecelle.de,READY,24,2
DE,Classic Cars Baden-Baden,https://www.classiccars-badenbaden.de,https://www.classiccars-badenbaden.de,READY,6,2
DE,Classic Cars Dornstetten GmbH,https://www.classic-cars-dornstetten.de,https://www.classic-cars-dornstetten.de,WATCH_JS,0,0
DE,Classic Cars GmbH,https://motorwagen.com,https://motorwagen.com,WATCH_JS,0,0
DE,Classic Center Köln,https://www.classiccenter-koeln.de,https://www.classiccenter-koeln.de/fahrzeuge/,READY,17,3
DE,Classic & Race Cars Peter Schleifer GmbH & Co. KG,http://www.classic-and-racecars.com,http://www.classic-and-racecars.com/fahrzeuge,NEEDS_CSS,5,0
DE,Classic & Racing Cars GbR,https://crcars.de,https://crcars.de/aktuelle-fahrzeuge/,READY,30,2
DE,ClassicCar Berlin TF GmbH,http://www.classiccar-berlin.de,http://www.classiccar-berlin.de,WATCH_JS,0,0
DE,collection-car a brand SEMO GmbH,http://www.collection-car.com,http://www.collection-car.com/fahrzeuge/,READY,16,3
DE,David Finest Sports Cars,https://davidsportscars.de,https://davidsportscars.de/aktueller-fahrzeugbestand/,READY,53,3
DE,Der Autojäger,https://www.derautojaeger.de,https://www.derautojaeger.de,READY,20,3
DE,DLS Automobile,https://dls-automobile.com,https://dls-automobile.com/de/fahrzeuge,READY,41,3
DE,Dresdner Klassiker Handel GmbH,https://klassiker-handel.de,https://klassiker-handel.de/fahrzeugbestand/,READY,28,3
DE,Garage 11 Hamburg,https://www.garage-11.de,https://www.garage-11.de,READY,74,3
DE,go.911 – markus schenkl,http://go911.net,http://go911.net,NEEDS_CSS,7,0
DE,Gräf Classic Cars,https://www.graef-classic-cars.com,https://www.graef-classic-cars.com,NEEDS_CSS,3,0
DE,Grand Sports Cars,https://www.grand-sportcars.de,https://www.grand-sportcars.de,WATCH_JS,0,0
DE,GT Sport & Classic,https://www.gt-sport-classic.de,https://www.gt-sport-classic.de,WATCH_JS,0,0
DE,Hallier Classic Cars GmbH,http://hallierclassiccars.com,http://hallierclassiccars.com,WATCH_JS,0,0
DE,Handelshaus Steffen,https://www.hsexclusiv.de,https://www.hsexclusiv.de,WATCH_JS,0,0
DE,Herz Classic Mobile,https://www.herz-classic-mobile.de,https://www.herz-classic-mobile.de,WATCH_JS,0,0
DE,Histomobile GmbH,http://www.histo-mobile.com,http://www.histo-mobile.com,WATCH_JS,0,0
DE,Jacobs Classic,http://www.jacobs-classic.de,http://www.jacobs-classic.de,NEEDS_CSS,22,0
DE,Jan B. Lühn,http://www.janluehn.com,https://janluehn.com/cars/2016-ferrari-f12tdf/,NEEDS_CSS,17,0
DE,K&F Classic Cars,https://www.kf-classic-cars.de,https://www.kf-classic-cars.de,WATCH_JS,0,0
DE,Klassische Automobile GmbH & Co. KG,https://kw1978.com,https://kw1978.com,NEEDS_CSS,9,0
DE,Klassische Automobile Wesel,http://klassische-automobile-wesel.de,http://klassische-automobile-wesel.de/fahrzeuguebersicht,READY,22,1
DE,Klatt Oldtimer GmbH,https://www.klatt-oldtimer.com,https://www.klatt-oldtimer.com,WATCH_JS,0,0
DE,Koch Klassik Automobil GmbH,https://koch-klassik.de,https://koch-klassik.de/fahrzeug-angebot/,NEEDS_CSS,12,0
DE,Martin Kölnberger | Classic Cars,https://koelnberger-cars.de,https://koelnberger-cars.de,WATCH_JS,0,0
DE,Martini Garage,https://www.martini-racing.com,https://www.martini-racing.com/produkt-kategorie/cars-for-sale/,READY,10,3
DE,Mayer Classic Cars,https://www.mayer-classic-cars.de,https://www.mayer-classic-cars.de,NEEDS_CSS,18,0
DE,Mehne Automobiles,http://www.mehneautomobiles.de,http://www.mehneautomobiles.de,WATCH_JS,0,0
DE,Messina Classics,http://www.messinaclassics.de,https://www.messinaclassics.de/fahrzeuge/,READY,28,1
DE,Mirbach & Seemann GmbH,https://www.mirbach-seemann.de,https://www.mirbach-seemann.de/angebote/,READY,33,3
DE,Mohr Group München,https://group-mohr.com,https://group-mohr.com,WATCH_JS,0,0
DE,Movendi GmbH & CO .KG,https://mo-vendi.de,https://mo-vendi.de/fahrzeuge/,READY,21,3
DE,Oldtimer Centrum Aachen,http://www.oldtimercentrum-aachen.de,https://www.oldtimercentrum-aachen.de/rennfahrzeuge-vermietung,NEEDS_CSS,29,0
DE,Oldtimer Galerie Laufenburg,https://www.die-oldtimer-galerie.de,https://www.die-oldtimer-galerie.de,READY,39,1
DE,Pre-Select – fine Collectible Cars,http://www.pre-select.net,http://www.pre-select.net,NEEDS_CSS,5,0
DE,Pyritz Classics GmbH,https://pyritz-classics.de,https://pyritz-classics.de,NEEDS_CSS,6,0
DE,Rare Birds GmbH & Co. KG,https://rare-birds.de,https://rare-birds.de,READY,18,3
DE,Reller Automobile GmbH,https://www.reller-automobile.de,https://www.reller-automobile.de,NEEDS_CSS,6,0
DE,Retrocars Bremen GmbH,https://retrocars-bremen.de,https://retrocars-bremen.de,NEEDS_CSS,5,0
DE,Savex GmbH,https://www.savex-gmbh.com,https://www.savex-gmbh.com,NEEDS_CSS,4,0
DE,Schaltkulisse GmbH,https://schaltkulisse.com,https://schaltkulisse.com,NEEDS_CSS,28,0
DE,Schwarzenbach Agentur für klassische Automobile,https://schwarzenbach-automobile.de,https://schwarzenbach-automobile.de,NEEDS_CSS,6,0
DE,Scuderia Renania GmbH,https://www.scuderia-renania.com,https://www.scuderia-renania.com,WATCH_JS,0,0
DE,Springbok Sportwagen GmbH,https://www.springbok.de,https://www.springbok.de,WATCH_JS,0,0
DE,Steenbuck Automobiles GmbH,https://steenbuck-automobiles.de,https://steenbuck-automobiles.de/fahrzeuge/,READY,12,3
DE,Strassenklassiker,https://strassenklassiker.de,https://strassenklassiker.de,READY,22,3
DE,Superplus Classics & Sportscars,http://superplus-classics.de,https://superplus-classics.de/fahrzeuge/,READY,189,3
DE,Vintage Automobile Thomas Borchers,http://6.borchers-oldtimer.de,http://6.borchers-oldtimer.de,NEEDS_CSS,3,0
DE,Wagen12 GmbH,https://www.wagen12.de,https://wagen12.de/fahrzeug,READY,58,3
DE,Weekend Heroes,https://www.weekendheroes.com,https://www.weekendheroes.com,NEEDS_CSS,8,0
NL,1900 Classics BV,http://www.classiccarinformation.com,http://www.classiccarinformation.com,WATCH_JS,0,0
NL,ABH auto’s & accessoires,https://abh1.nl,https://abh1.nl,READY,8,1
NL,Aclassics,https://www.aclassics.nl,https://www.aclassics.nl,WATCH_JS,0,0
NL,AK-automobiles Bergeijk,https://www.ak-automobiles.nl,https://www.ak-automobiles.nl/product-categorie/aanbod-klassiekers/,READY,4,2
NL,Almere Classic Cars,https://www.almereclassiccars.nl,https://www.almereclassiccars.nl/aanbod/,NEEDS_CSS,4,0
NL,Alphons Ruyl Fine Classic Cars,http://www.ruylclassics.nl,http://www.ruylclassics.nl,WATCH_JS,0,0
NL,Auto Leitner,https://www.autoleitner.nl,https://www.autoleitner.nl/car-for-sale/1779617544-2023-rolls-royce-ghost,NEEDS_CSS,50,0
NL,Auto Mooij,https://www.automooij.nl,https://www.automooij.nl/automooij/voorraad-modern,READY,14,1
NL,Auto Timon,https://auto-timon.nl,https://auto-timon.nl,WATCH_JS,0,0
NL,Autobedrijf Brit,http://www.autobedrijfbrit.nl,http://www.autobedrijfbrit.nl,WATCH_JS,0,0
NL,Autobedrijf Jansma,https://autobedrijfjansma.nl,https://autobedrijfjansma.nl,NEEDS_CSS,6,0
NL,Autobedrijf Robert Wagner,https://robertwagner.nl,https://robertwagner.nl/showroom/,NEEDS_CSS,33,0
NL,Automobielhuys Misker,https://automobielhuysmisker.nl,https://automobielhuysmisker.nl/aanbod/aanbod-classics/,READY,21,3
NL,Baan Classics,https://baanautomotive.nl,https://baanautomotive.nl,NEEDS_CSS,6,0
NL,Beauty Cars,https://beauty-cars.nl,https://www.beauty-cars.nl/ons-aanbod,READY,16,3
NL,Big Boys Toys,https://www.bigboystoys.nl,https://bigboystoys.nl/occasions/,READY,68,3
NL,Bloemendaal Classic & Sportscars,https://www.bloemendaalcs.nl,https://www.bloemendaalcs.nl/collectie/,READY,388,2
NL,Brescia Classics,https://www.bresciaclassics.nl,https://www.bresciaclassics.nl,NEEDS_CSS,10,0
NL,Brooks Classics,https://www.brooksclassics.nl,https://www.brooksclassics.nl/collection,NEEDS_CSS,15,0
NL,Carel Wüst Classics,https://carelwustclassics.nl,https://carelwustclassics.nl,READY,60,3
NL,Carrosso Classic & Sportscars,https://www.carrosso.nl,https://www.carrosso.nl/aanbod/,READY,22,2
NL,Cars Forever,https://carsforever.nl,https://carsforever.nl/aanbod/,READY,15,3
NL,CL Classics Racing,https://classics-racing.nl,https://www.classics-racing.nl/nl/vehicles,READY,10,3
NL,Classic Cars Heerde,https://classiccarsheerde.nl,https://classiccarsheerde.nl,NEEDS_CSS,3,0
NL,Classic Open,https://en.classicopen.eu,https://en.classicopen.eu/cars-for-sale,READY,48,3
NL,Classic Park,https://www.classicpark.nl,https://www.classicpark.nl,NEEDS_CSS,6,0
NL,Classic Sports Cars Holland,https://classicsportscarsholland.com,https://classicsportscarsholland.com,WATCH_JS,0,0
NL,Classic & Sportscar Hofman Leek,https://www.hofman.nl,https://www.hofman.nl,NEEDS_CSS,9,0
NL,Classicmaster,https://classicmaster.nl,https://classicmaster.nl/occasions-kopen/54381487-mercedes-benz-s-klasse-400-hybrid-amg-styling-exclusive,NEEDS_CSS,70,0
NL,Classics-World,https://classics-world.com,https://classics-world.com/collectie,NEEDS_CSS,89,0
NL,Continental Cars,http://www.continentalcars.nl,http://www.continentalcars.nl,WATCH_JS,0,0
NL,Cool Classic Club,https://coolclassicclub.com,https://coolclassicclub.com/collectibles/plymouth-barracuda-viper-v10-restomod-for-sale,READY,100,3
NL,Dandy Classics,https://www.dandyclassics.com,https://www.dandyclassics.com/collection/,NEEDS_CSS,28,0
NL,De Croon Classic Cars & More,https://decroonclassics.nl,https://decroonclassics.nl/occasions/,READY,5,3
NL,De Klassieker RVO,https://www.deklassieker.com,https://deklassieker.com/klassiekers/,READY,8,1
NL,DeLeon B.V.,https://deleonclassiccars.com,https://deleonclassiccars.com,WATCH_JS,0,0
NL,Dijkstra Classic Cars & Youngtimers,https://www.dijkstra-classic-cars.nl,https://www.dijkstra-classic-cars.nl/onze-autos,READY,90,2
NL,Dream Garage Classic & Sports cars,https://www.dreamgarage.nl,https://www.dreamgarage.nl/collectie/,READY,9,1
NL,E&R Classics,https://www.erclassics.com,https://www.erclassics.com/classic-cars-for-sale/,NEEDS_CSS,74,0
NL,Fine Automobiles,https://fineautomobiles.nl,https://fineautomobiles.nl,WATCH_JS,0,0
NL,FS Cars Den Helder,https://fscars.eu,https://fscars.eu,READY,10,2
NL,Gallery Aaldering,https://www.gallery-aaldering.com,https://www.gallery-aaldering.com/collection/,NEEDS_CSS,68,0
